# source_path,target_repo
# generated from https://gitlab.postmarketos.org/postmarketOS (visibility=public)
# target_repo encoding: slash -> _s_ and underscore -> __
# regenerated by scripts/sync_public_repos.sh
postmarketOS/anbox-image-make,anbox-image-make
postmarketOS/antora-ui-default,antora-ui-default
postmarketOS/apk-tools,apk-tools
postmarketOS/apkbrowser,apkbrowser
postmarketOS/aports-turbo,aports-turbo
postmarketOS/apply-for-trusted-contributor,apply-for-trusted-contributor
postmarketOS/artwork,artwork
postmarketOS/asus-transformer-blobtools,asus-transformer-blobtools
postmarketOS/audits,audits
postmarketOS/boot-deploy,boot-deploy
postmarketOS/bootmac,bootmac
postmarketOS/buffybox,buffybox
postmarketOS/build.postmarketos.org,build.postmarketos.org
postmarketOS/cast.postmarketos.org,cast.postmarketos.org
postmarketOS/charging-sdl,charging-sdl
postmarketOS/ci-common,ci-common
postmarketOS/coldbrew,coldbrew
postmarketOS/continuous-testing/upstream-compat,continuous-testing_s_upstream-compat
postmarketOS/depthcharge-tools,depthcharge-tools
postmarketOS/dint,dint
postmarketOS/docker-postmarketos,docker-postmarketos
postmarketOS/docker-postmarketos-deletion_scheduled-1229,docker-postmarketos-deletion__scheduled-1229
postmarketOS/docs.postmarketos.org,docs.postmarketos.org
postmarketOS/duranium,duranium
postmarketOS/duranium.postmarketos.org,duranium.postmarketos.org
postmarketOS/events,events
postmarketOS/fbdebug,fbdebug
postmarketOS/generate-kernel-cmdline,generate-kernel-cmdline
postmarketOS/gitlab-management-automation,gitlab-management-automation
postmarketOS/gitlab-profile,gitlab-profile
postmarketOS/gnss-share,gnss-share
postmarketOS/gpmbootstrap,gpmbootstrap
postmarketOS/gps-nokia-n900,gps-nokia-n900
postmarketOS/handbook,handbook
postmarketOS/hexagonfs-firmware-loader,hexagonfs-firmware-loader
postmarketOS/hkdm,hkdm
postmarketOS/hotpot,hotpot
postmarketOS/install-makedepends,install-makedepends
postmarketOS/installer,installer
postmarketOS/jonathan,jonathan
postmarketOS/kde-nightly,kde-nightly
postmarketOS/libapk-qt,libapk-qt
postmarketOS/libcamera-tuning,libcamera-tuning
postmarketOS/marge-bot,marge-bot
postmarketOS/matrix-bot,matrix-bot
postmarketOS/matrix-irc-bridge-request,matrix-irc-bridge-request
postmarketOS/megapixels,megapixels
postmarketOS/mobile-config-firefox,mobile-config-firefox
postmarketOS/mobile-config-thunderbird,mobile-config-thunderbird
postmarketOS/mrhlpr,mrhlpr
postmarketOS/msm-cros-efs-loader,msm-cros-efs-loader
postmarketOS/msm-firmware-loader,msm-firmware-loader
postmarketOS/msm-modem,msm-modem
postmarketOS/musl-locales,musl-locales
postmarketOS/nightly-builder,nightly-builder
postmarketOS/obex-capabilities,obex-capabilities
postmarketOS/ondev2,ondev2
postmarketOS/openrc-settingsd,openrc-settingsd
postmarketOS/operations,operations
postmarketOS/osk-sdl,osk-sdl
postmarketOS/panic.postmarketos.org,panic.postmarketos.org
postmarketOS/pbsplash,pbsplash
postmarketOS/pbsplash-rs,pbsplash-rs
postmarketOS/phone-harness,phone-harness
postmarketOS/plymouth-themes,plymouth-themes
postmarketOS/pmaports,pmaports
postmarketOS/pmaports-autoupdate-test,pmaports-autoupdate-test
postmarketOS/pmbootstrap,pmbootstrap
postmarketOS/pmcr,pmcr
postmarketOS/pmos-repo-scripts,pmos-repo-scripts
postmarketOS/postmarketos,postmarketos
postmarketOS/postmarketos-android-recovery-installer,postmarketos-android-recovery-installer
postmarketOS/postmarketos-apparmor-profiles,postmarketos-apparmor-profiles
postmarketOS/postmarketos-backup,postmarketos-backup
postmarketOS/postmarketos-demos,postmarketos-demos
postmarketOS/postmarketos-images,postmarketos-images
postmarketOS/postmarketos-install-recommends,postmarketos-install-recommends
postmarketOS/postmarketos-mkinitfs,postmarketos-mkinitfs
postmarketOS/postmarketos-ondev,postmarketos-ondev
postmarketOS/postmarketos-release-upgrade,postmarketos-release-upgrade
postmarketOS/postmarketos-release-upgrade-notification,postmarketos-release-upgrade-notification
postmarketOS/postmarketos-splash,postmarketos-splash
postmarketOS/postmarketos-testing-template-generator,postmarketos-testing-template-generator
postmarketOS/postmarketos-theme,postmarketos-theme
postmarketOS/postmarketos-tweaks,postmarketos-tweaks
postmarketOS/postmarketos-tweaks-setting-definitions,postmarketos-tweaks-setting-definitions
postmarketOS/postmarketos-welcome,postmarketos-welcome
postmarketOS/postmarketos.org,postmarketos.org
postmarketOS/postprocessd,postprocessd
postmarketOS/powersupply,powersupply
postmarketOS/q6voiced,q6voiced
postmarketOS/qemu-vm-image,qemu-vm-image
postmarketOS/reboot-mode,reboot-mode
postmarketOS/run0-sudo-shim,run0-sudo-shim
postmarketOS/status.postmarketos.org,status.postmarketos.org
postmarketOS/swclock-offset,swclock-offset
postmarketOS/systemd,systemd
postmarketOS/tinydm,tinydm
postmarketOS/ttq,ttq
postmarketOS/ttyescape,ttyescape
postmarketOS/unudhcpd,unudhcpd
postmarketOS/usb-moded-notify,usb-moded-notify
postmarketOS/webflash,webflash
postmarketOS/wiki,wiki
postmarketOS/xfce4-phone,xfce4-phone
postmarketOS/yotlip,yotlip
